Provinsi,partisipasi_kasar_pt_2022,partisipasi_kasar_pt_2021,partisipasi_kasar_pt_2020,partisipasi_kasar_pt_2019,partisipasi_kasar_pt_2018,partisipasi_kasar_pt_2017,partisipasi_kasar_pt_2016,partisipasi_kasar_pt_2015
ACEH,44.45,44.65,44.58,44.51,43.86,45.73,42.06,41.67
SUMATERA UTARA,30.94,31.1,31.14,30.82,31.11,30.71,28.93,25.89
SUMATERA BARAT,43.79,44.25,43.09,42.18,44.19,43.53,40.54,38.51
RIAU,35.29,35.97,35.07,33.93,34.15,33.37,29.81,30
JAMBI,30.08,30.74,31.42,30.71,33.78,32.27,26.98,26.33
SUMATERA SELATAN,26.31,26.32,26.41,25.59,26.23,23.77,21.64,18.6
BENGKULU,38.15,38.66,38.39,37.63,38.31,41.52,41,36.53
LAMPUNG,21.48,22.64,23.08,21.98,21.32,18.84,16.05,12.46
KEP. BANGKA BELITUNG,14.85,15.23,14.73,14.27,13.2,15.01,14.48,11.13
KEP. RIAU,27.47,27.59,26.68,25.11,27.64,23.08,22.11,21.14
DKI JAKARTA,39.56,40.05,40.34,39.43,36.71,34.94,33.58,32.72
JAWA BARAT,26.01,25.83,25.75,25.15,25.14,25.5,24.59,21.31
JAWA TENGAH,23.95,23.86,22.62,21.8,21.96,21.88,19.69,19.28
DI YOGYAKARTA,75.59,74.9,74.69,73.14,70.6,70.1,65.51,64.83
JAWA TIMUR,30.07,29.96,29.52,29.2,29.99,30.23,28.13,22.14
BANTEN,32.67,32.51,33.07,33.22,33.4,31.4,29.02,23.6
BALI,38.46,36.51,36.46,35.96,36.4,35.81,31.61,32.06
NUSA TENGGARA BARAT,32.05,32.26,31.28,30.7,29.75,28.09,25.89,26.3
NUSA TENGGARA TIMUR,32.48,33.27,31.28,30.22,30.14,29.21,26.92,24.51
KALIMANTAN BARAT,26.59,26.22,25.36,24.87,22.68,23.04,20.98,19.24
KALIMANTAN TENGAH,25.84,26.46,25.7,25.45,25.24,24.89,23.9,21.1
KALIMANTAN SELATAN,27.5,27.97,27.35,27.04,26.41,26.08,23.24,24.56
KALIMANTAN TIMUR,40.62,40.21,39.16,37.78,35.64,35.58,31.6,28.44
KALIMANTAN UTARA,25.66,25.23,22.71,23.43,21.58,26.76,24.35,18.25
SULAWESI UTARA,34.36,34.43,34.61,33.86,35,31.74,31.32,27.68
SULAWESI TENGAH,39.48,40.11,39.32,38.64,40.61,39.22,35.3,31.56
SULAWESI SELATAN,42.63,42.35,42.69,42.72,41.23,43,40.75,40.44
SULAWESI TENGGARA,45.24,44.77,47.4,47.56,46.42,46.98,45.35,42.31
GORONTALO,36.94,37.32,37.74,36.71,35.23,37.88,32.23,30.35
SULAWESI BARAT,29.43,30.15,29.44,30.85,28.9,29.72,27.54,25.51
MALUKU,51.36,48.36,48.62,47.65,48.42,47.39,46.38,44.46
MALUKU UTARA,44.27,43.63,43.97,44.02,42.68,45.01,40.87,33.72
PAPUA BARAT,36.11,35.8,35.3,34.83,35.97,36.32,32.37,32.83
PAPUA,20.08,20.04,21.87,21.08,19.03,20.37,20.44,16.01
INDONESIA,31.16,31.19,30.85,30.28,30.19,29.93,27.98,25.26
