Provinsi,partisipasi_kasar_sma_2022,partisipasi_kasar_sma_2021,partisipasi_kasar_sma_2020,partisipasi_kasar_sma_2019,partisipasi_kasar_sma_2018,partisipasi_kasar_sma_2017,partisipasi_kasar_sma_2016,partisipasi_kasar_sma_2015,partisipasi_kasar_sma_2014,partisipasi_kasar_sma_2013,partisipasi_kasar_sma_2012,partisipasi_kasar_sma_2011,partisipasi_kasar_sma_2010,partisipasi_kasar_sma_2009,partisipasi_kasar_sma_2008,partisipasi_kasar_sma_2007,partisipasi_kasar_sma_2006,partisipasi_kasar_sma_2005,partisipasi_kasar_sma_2004,partisipasi_kasar_sma_2003
ACEH,92.53,92.63,90.9,90.09,84.8,87.52,87.47,83.33,81.53,75.09,77.62,79.29,80.96,82.84,78.19,81.81,73.7,-,75.28,74.4
SUMATERA UTARA,97.23,96.75,94.68,94.04,91.57,93.64,93.25,84.14,82.96,77.15,80.81,78.97,72.69,73.36,69.58,71.45,68.78,67.8,70.91,65.9
SUMATERA BARAT,90.66,90.38,90.01,88.88,83.97,88.39,84.7,81.42,80.46,71,72.53,70,72.82,74.37,71.04,70.47,67.69,68.7,65.32,63.9
RIAU,84.85,84.11,84.61,84.17,83.87,85.05,78.3,76.16,76.33,69.6,68.73,71.82,67.94,72.46,69.42,67.94,63.18,62.81,59.05,61.6
JAMBI,84.33,84.47,83.71,82.5,78.93,83.54,80.36,76.12,73.63,65.61,65.8,66.66,63.21,61.51,59.9,59.27,51.51,51.08,54.04,50.5
SUMATERA SELATAN,81.11,82.3,81.73,80.85,77.4,83.44,82.51,73.18,72.51,63.78,69.73,64.49,60.87,61.27,54.72,56.78,53.16,54.28,51.11,45.6
BENGKULU,93.97,93.79,94.14,93.8,85.57,87.1,83.56,82.79,79.49,72.71,67.42,67.61,68.83,67.25,63.16,62.86,60.72,57.98,63.1,52.2
LAMPUNG,87.4,88.38,85.84,85.73,81.56,85.16,82.98,73.9,68.49,63.81,62.03,61.76,57.81,60.62,53.16,54.9,51.55,49.18,44.26,45
KEP. BANGKA BELITUNG,86.5,86.49,87.15,87.11,82.21,82.88,79.1,76.41,75.51,68.5,59.69,61.34,60.59,58.56,54.16,55.34,50.27,49.02,48.99,42.8
KEP. RIAU,87.08,86.31,87.53,86.69,90.99,95.79,89.47,93.2,81.36,80.26,74.38,80.96,79.63,70.75,68.88,81.24,67.52,69.83,-,-
DKI JAKARTA,76.91,77.08,76.87,74.77,73.98,79.51,73.09,76.35,74.71,72.72,75.34,72.53,63.14,68.38,65.58,68.74,68.95,73.28,77.63,77.5
JAWA BARAT,78.86,78.1,78.26,77.82,75.31,76.48,70.56,70.23,68.55,60.12,64.9,56.09,51.37,51.75,48.73,49.32,51.07,46.27,46.42,42.8
JAWA TENGAH,86.83,86.65,86.83,86.76,84.15,84.35,86.27,82.15,73.55,64.02,67.03,64.02,61.61,60.85,58.72,56.91,54.54,55.2,52.69,46.9
