Kepolisian Daerah,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aceh ,02.02'37'',02.33'41'',05.15'06'',03.12'57'',04.40'37'',04.00'59'',08.52'48'',02.51'36'',05.51'36'',01.23'24'',0.56'51'',00.57'40'',00.57'07'',00.57'26'',01.09'26'',01.05'18'',"00.54'29""","00.59'09""","01.00'00""","01.10'14""","01.07'51""","01.19'01"""
Sumatera Utara,00.33'05'',00.34'08'',00.34'53'',00.29'58'',00.25'07'',00.20'55'',00.18'54'',00.18'21'',00.20'04'',00.19'45'',0.15'49'',00.13'58'',00.15'48'',00.12'54'',00.14'42'',00.14'54'',"00.14'09""","00.13'11""","00.15'57""","00.17'02""","00.15'55""","00.14'23"""
Sumatera Barat,01.57'44'',01.47'43'',01.48'28'',01.29'58'',01.37'34'',01.12'58'',00.52'48'',00.55'19'',00.48'46'',00.44'21'',0.48'34'',00.44'56'',00.39'01'',00.36'41'',00.35'08'',00.32'17'',"00.35'13""","00.39'48""","00.40'34""","00.47'30""","01.05'45""","01.32'45"""
Riau,01.55'43'',01.38'24'',01.34'20'',01.14'52'',01.13'30'',01.16'40'',01.23'24'',00.53'48'',01.05'24'',00.58'36'',0.51'53'',01.03'09'',00.41'56'',00.55'55'',00.54'30'',00.54'46'',"01.01'41""","01.16'31""","01.12'32""","01.20'00""","01.04'08""","01.09'58"""
Jambi,05.15'17'',05.52'02'',05.38'13'',04.53'08'',04.24'55'',03.58'41'',04.26'24'',03.26'30'',03.15'00'',03.19'12'',2.26'34'',01.58'06'',01.26'10'',01.20'44'',01.08'46'',00.49'45'',"00.55'46""","00.55'08""","01.23'15""","01.16'45""","01.51'36""","02.22'00"""
Sumatera Selatan,00.48'52'',00.51'46'',00.50'02'',01.09'45'',01.11'43'',01.01'15'',01.03'00'',00.52'43'',00.46'52'',00.37'05'',0.28'44'',00.27'09'',00.24'26'',00.22'58'',00.23'08'',00.25'32'',"00.25'48""","00.33'25""","00.38'46""","00.40'52""","00.43'07""","00.40'18"""
Bengkulu,9.18'33'',12.57'30'',07.29'13'',07.33'29'',08.03'58'',07.57'49'',05.17'24'',04.30'00'',04.22'12'',04.47'24'',3.13'27'',02.30'15'',02.13'17'',01.55'30'',02.16'37'',01.57'46'',"01.29'01""","01.47'59""","02.35'05""","02.32'12""","02.37'41""","02.30'28"""
Lampung,01.36'02'',01.39'49'',02.39'45'',02.22'10'',01.53'40'',02.03'35'',01.26'24'',01.19'48'',01.16'12'',00.52'46'',1.49'12'',01.26'50'',01.59'55'',01.49'13'',01.07'46'',00.57'01'',"00.50'07""","00.47'23""","00.58'38""","01.01'35""","01.09'12""","00.53'49"""
Kepulauan Bangka Belitung 1,- ,- ,- ,- ,- ,07.11'31'',04.45'00'',03.49'48'',04.19'48'',03.29'24'',3.18'56'',03.12'23'',01.41'08'',03.28'59'',04.52'39'',04.40'19'',"04.11'00""","04.32'11""","04.16'38""","04.29'07""","04.32'11""","05.35'37"""
Kepulauan Riau 1,- ,- ,- ,- ,- ,04.24'55'',02.32'24'',02.42'00'',02.55'12'',02.30'00'',2.06'56'',02.24'16'',02.24'57'',02.02'51'',01.53'26'',01.47'26'',"01.47'35""","02.23'05""","02.34'10""","02.46'22""","03.04'52""","03.31'51"""
