polda_caps	province_abbr_caps	province_fullname
ACEH	ACEH	Aceh
SUMATERA UTARA	SUMATERA UTARA	Sumatera Utara
SUMATERA BARAT	SUMATERA BARAT	Sumatera Barat
RIAU	RIAU	Riau
JAMBI	JAMBI	Jambi
SUMATERA SELATAN	SUMATERA SELATAN	Sumatera Selatan
BENGKULU	BENGKULU	Bengkulu
LAMPUNG	LAMPUNG	Lampung
KEP. BANGKA BELITUNG	KEP. BANGKA BELITUNG	Kepulauan Bangka Belitung
KEP. RIAU	KEP. RIAU	Kepulauan Riau
METRO JAYA	METRO JAYA	Metro Jaya
JAWA BARAT	JAWA BARAT	Jawa Barat
JAWA TENGAH	JAWA TENGAH	Jawa Tengah
DI YOGYAKARTA	DI YOGYAKARTA	DI Yogyakarta
JAWA TIMUR	JAWA TIMUR	Jawa Timur
BANTEN	BANTEN	Banten
BALI	BALI	Bali
NUSA TENGGARA BARAT	NUSA TENGGARA BARAT	Nusa Tenggara Barat
NUSA TENGGARA TIMUR	NUSA TENGGARA TIMUR	Nusa Tenggara Timur
KALIMANTAN BARAT	KALIMANTAN BARAT	Kalimantan Barat
KALIMANTAN TENGAH	KALIMANTAN TENGAH	Kalimantan Tengah
KALIMANTAN SELATAN	KALIMANTAN SELATAN	Kalimantan Selatan
KALIMANTAN TIMUR	KALIMANTAN TIMUR	Kalimantan Timur
KALIMANTAN UTARA	KALIMANTAN UTARA	Kalimantan Utara
SULAWESI UTARA	SULAWESI UTARA	Sulawesi Utara
SULAWESI TENGAH	SULAWESI TENGAH	Sulawesi Tengah
SULAWESI SELATAN	SULAWESI SELATAN	Sulawesi Selatan
SULAWESI TENGGARA	SULAWESI TENGGARA	Sulawesi Tenggara
GORONTALO	GORONTALO	Gorontalo
SULAWESI BARAT	SULAWESI BARAT	Sulawesi Barat
MALUKU	MALUKU	Maluku
MALUKU UTARA	MALUKU UTARA	Maluku Utara
PAPUA BARAT	PAPUA BARAT	Papua Barat
PAPUA	PAPUA	Papua
INDONESIA	INDONESIA	INDONESIA
